Final Results Comparison,,,,,,,,,
Metric,OG_PerunaBot,PerunaBot_0,PerunaBot_1,PerunaBot_2,,,,,
simple,Why is it important for students to obtain pre-approval for transfer work at SMU?,It is important for students to obtain pre-approval for transfer work at SMU to ensure that a course taken at another accredited college or university will transfer and that proper credit will be awarded. This process helps students avoid any issues or discrepancies in transferring credits and ensures a smooth academic progression.,"It is important for students to obtain pre-approval for transfer work at SMU because without prior approval, they may have to petition later for credit, with no guarantee of approval. Additionally, permission for transfer credit may be denied for educational reasons. Post-matriculation transfer work must be completed at accredited, four-year institutions to be approved.","[""the Registrar's Office Forms Library at smu.edu/registrar. Students who fail to secure prior approval for transfer \nwork taken within the United States must petition  later for transfer credit, but they have no assurance that credit will \nbe awarded. In either case, permission may be denied for educational reasons.  \nCourses taken at International Institutions or International Campuses of U.S. Institutions:  Without Education""
 'Post-matriculation transfer work must be completed at accredited, four -year institutions. Post- matriculation transfer \nwork from non- accredited or two -year institutions will not be approved.  \nAdmission  \nAll incoming first- year students to the University are admitted as SMU Pre -Majors. Students should see the \nAdmission to the University  section of this catalog for admission requirements. Students wishing to pursue majors in'
 'question: Does SMU award credit for classes taken at another college or university after starting at SMU?\nanswer: In most cases, yes, students may transfer credit from other accredited, four-year institutions to SMU. The semester before the student plans to study away from SMU, he or she should complete an Advance Approval of Transfer Credits form, \nwhich requires each course to be evaluated and approved by an academic department. Upon completion of the course, the student may be responsible for demonstrating specific Student Learning Outcomes to satisfy University Curriculum components or Common Curriculum Proficiencies & Experiences.'
 'Note that admitted transfer students cannot enroll at SMU until their final transcript has been received and evaluated for transferability and a Good Standing Form has been received from their prior institutions. For this reason, transfer students entering for the fall term are discouraged from attending the second summer term at their current institution \nbefore matriculation to SMU.  \nHousing Deposit']",0.75,0.8494750202333926,0.4272205697154342,1,1
simple,What information is Southern Methodist University required to provide under the Right to Know policy?,"Southern Methodist University is required to provide information regarding academic programs, enrollment, financial aid, public safety, athletics, and services for persons with disabilities under the Right to Know policy.","Under the Right to Know policy, Southern Methodist University is required to provide information regarding academic programs, enrollment, financial aid, public safety, athletics, and services for persons with disabilities. This disclosure of information is pursuant to requirements of the Higher Education Act and the Campus Security Act. Students can also obtain paper copies of this information by contacting the appropriate office listed.","['97 \n Right to Know  \nSouthern Methodist University is pleased to provide information regarding academic programs, enrollment, \nfinancial aid, public safety, athletics and services for persons with disabilities. Students also may obtain paper copies of this information by contac ting the appropriate office listed below. Disclosure of this information is pursuant to \nrequirements of the Higher Education Act and the Campus Security Act. More information is available at www.smu.edu/srk.'
 ""they belie ve to be inaccurate, misleading or otherwise in violation of their privacy rights. Further, \nFERPA prevents SMU from disclosing personally identifiable information about a student to outside third parties, except under s pecific circumstances outlined in SMU's Policy Manual.  \nc. Withdrawal. Requirements and procedures for officially withdrawing from the instititution.  \n3. Financial Aid  \nDirector of Financial Aid, Blanton Student Services Building, Room 212  \n214-768-3417""
 'has issued guidelines that are available at the University Registrar’s FERPA website  \n(smu.edu/FERPA ).\nAlthough there are a number of exceptions, as a general rule, SMU will not disclose to \nthird parties personally identifiable information from a student’s education records without \nthe student’s written consent. Among the exceptions to the general rule are these selected \nexamples: (1) Information defined by SMU as directory information may be released'
 ""In general, no personally identifiable information from a student's education record will be disclosed to any third \nparty without written consent from the student. Several exceptions exist, including these selected examples: 1) information defined by SMU a s directory information may be released unless the student requests through my.SMU""]",1,0.9999989091747795,0.5892186594721218,1,0.8055555555287036
simple,How does the Critical Reasoning component of the baccalaureate degree plan at SMU contribute to students' academic development?,"The Critical Reasoning component of the baccalaureate degree plan at SMU contributes to students' academic development by enhancing their ability to think critically, analyze information, and make reasoned judgments. This skill is essential for academic success as it allows students to evaluate arguments, identify logical fallacies, and construct sound arguments of their own.","The Critical Reasoning component of the baccalaureate degree plan at SMU helps students develop critical thinking skills, work collaboratively, and improve their communication abilities. It is a key part of the Foundations requirements alongside Academic Writing, Quantitative Reasoning, and a Second Language. Students demonstrate university-level critical reasoning proficiencies through written expression as part of their academic development.","['comprises approximately one -third of the baccalaureate degree plan for all SMU students. It consists of two main \ncoursework components, Foundations and Bre adths.  \nThe Foundations requirements include Academic Writing (AW), Critical Reasoning (CR), Quantitative Reasoning (QR), and a Second Language (SLR)  of intermediate proficiency in languages other than English. These Foundation'
 'brand equity and market share. Students learn how to think critically, work collaboratively in an interdisciplinary \nenvironment, develop strategy, hone their communication skills, assess the metrics of their work and present \nconcepts in an engaging way.  \nCourses for each concentration must be taken in sequence.  \nSMU Degree Requirements  \nAn SMU undergraduate degree requires a minimum of 120 credit hours and must include completion of the'
 'Academic Writing and Critical Reasoning  \nStudents will develop competency, clarity, coherence, and organization in their writing and will demonstrate university -level critical reasoning proficiencies through written expression. The Common Curriculum emphasizes \nAcademic Writing (AW) and Critical R easoning (CR) in the first -year sequence of courses, often within the Writing'
 'collaboratively develop answers. \n\uf0a1 Think about how things you know in one area (say, art) relate \nto things in other areas that seem completely different (say, \neconomics). \n\uf0a1 Eschew the easy path of simple memorization and regurgitation. \nReject the notion that a grade is the end point of a class.\n\uf0a1 Define what your time at SMU will mean. Although you never \nwill stop actively learning, you never will have as many oppor -\ntunities to develop the attitude, the knowledge and the skills']",0.7142857142857143,0.9406846516982933,0.5914090310856118,0.5,1
simple,What is the purpose of the entrance examinations in written music theory and musicianship for entering undergraduate students at this university?,"The purpose of the entrance examinations in written music theory and musicianship for entering undergraduate students at this university is to assess students' knowledge and skills in these areas before classes begin. These exams are used for course section placement and are mandatory for all students, regardless of whether they are seeking credit by examination.","The purpose of the entrance examinations in written music theory and musicianship for entering undergraduate students at this university is to assess their knowledge and skills before classes begin. These exams are required for all incoming undergraduate students, except transfer students from 4-year NASM schools, and help determine the students' placement in music theory and musicianship courses. The exams include both online and paper-based components and are listed in the ""Orientation Schedule"" each year.","['23 \n Music.  All entering undergraduate students (except transfer students from 4 -year NASM schools) are required to \ntake entrance examinations in written music theory and musicianship before classes begin. The date and time of \nthese exams are listed in the ""Orientati on Schedule"" published by the Division of Music each year and emailed to \nstudents. Students are advised to make appropriate end -of-summer plans to be present and on time for these exams.'
 'displace an opportunity for a degree -seeking music major.  \nDepartmental Placement in Music Theory/Musicianship and Class Piano  \nAll entering undergraduate students (except transfer students from 4- year NASM schools) are required to take \nentrance examinations in written music theory and musicianship before classes begin. These exams include both \nonline and paper -based components. The date and time of these exams are listed in the ""Orientation Schedule""'
 ""applicants intending to major in music must complete an audition prior to matriculation. Auditions assess a prospective student's previous experience and potential for success in the intended major. Entering students \nintending to major in composition must submit a portfolio of original compositions and pass a performance audition. \nBoth the Division of Music and the University must accept the candidat e in order for the student to be classified as a""
 'aspire to a musical career.  \nAcceptance criteria for the minor include a successful audition or composition portfolio review and a theory/aural \nskills assessment prior to enrollment in private lessons or the theory sequence. The ability to read music is required. \nMusicianship (MUTH 1129, MUTH 1130) must be taken concurrently with the corresponding offering of music \ntheory (MUTH 1229, MUTH 1230). In any given term, private study will be approved only if the student is enrolled']",1,0.999998546,0.7436819542173021,1,1
reasoning,"How does the Common Curriculum meet the LAI graduation requirement while focusing on P&Es, soft skills, and global citizenship?",The answer to given question is not present in context,"The Common Curriculum meets the LAI graduation requirement by including Proficiencies and Experiences (P&Es) such as Global Perspectives (GPS), Human Diversity (HD), and Oral Communication (OC). These requirements focus on developing soft skills and global citizenship through coursework or co-curricular activities. Students can fulfill these requirements to meet the LAI graduation requirement while enhancing their abilities to be compassionate and engaged world citizens.","['the soft skills necessary to be compassionate and engaged world citizens. The Common Curriculum contains seven graduation requirements: Civi cs and Individual Ethics (CIE), Community Engagement (CE), Global Perspectives \n(GPS), Human Diversity (HD), Oral Communication (OC), Quantitative Applications (QA), and Writing (W). P&Es \nmay be satisfied with coursework or with the completion of co- curricu lar activities. These requirements are often'
 '14  |  Common Curriculum\nGRADUATION REQUIREMENTS:  \nPROFICIENCIES AND EXPERIENCES\nProficiencies and Experiences (P&Es) give students the skills \nthey need to succeed in the workplace and the tools they need \nto work with increasingly diverse colleagues and audiences. All \ncomponents push students beyond the boundaries of the tradi -\ntional classroom, encouraging them to apply their learning in the \ncommunity and the wider world.\nPREPARATION FOR THE WORKPLACE'
 'requirements are Creativity and Aes thetics (CA), Exploring Science (ES), Historical Contexts (HC), Literary \nAnalysis and Interpretation (LAI), Philosophical, Religious, and Ethical Inquiry (PREI), Social and Behavioral Sciences (SBS), and Technological Advances and Society (TAS).  \nIn addition to the graduation requirements, referred to as Proficiencies and Experiences (P&Es), students can apply'
 'organizations  is available on the Comm on Curriculum website. See applicable external credit policies related to \nP&Es below.  \nRequirements  First -Years (FYRs) and First -Year \nTransfers (FYTs)  Transfers (TRNs)  \nProficiencies and Experiences  develop key skills through coursework or experiences.  \n1. Civics and  Individual Ethics \n(CIE) \n2. Community Engagement (CE) \n3. Global Perspectives (GPS)  \n4. Human Diversity (HD)  \n5. Oral Communication (OC)  \n6. Quantitative Applications \n(QA)']",0,0.9487226604487192,0.1746852575702817,0,0
reasoning,"What exception applies to credit hours enrollment for Meadows School of the Arts students during graduation term, and how does it differ from the general rule?","During the term in which a student is to graduate, Meadows School of the Arts students may enroll for 19 credit hours, regardless of the preceding term GPA. This differs from the general rule which requires a GPA of at least 3.000 to enroll for more than 18 credit hours.","Meadows School of the Arts students are allowed to enroll for 19 credit hours during the term in which they are graduating, regardless of the preceding term GPA. This exception differs from the general rule that limits enrollment to 18 credit hours unless the GPA for the preceding term is at least 3.000.","[""b. A maximum of 30 credit hours of transfer work after matriculation.  \nA degree from Meadows School of the Arts is awarded by the faculty only in recognition of developed abilities, demonstrated knowledge of the student's particular field of study and the capacity to express an understanding of the art medium. Merely passing all courses is not necessarily sufficient.  \nGraduation Honors""
 'Requirements for Graduation  \nStudents who are candidates for a degree in Meadows School of the Arts must submit a formal application for graduation to the Student Academic Services Office by the end of the first week of class for December and May \ngraduation, and by the second day of s ummer school for August graduation. In addition to University- wide \nrequirements and requirements for the major, candidates for graduation must also fulfill the following requirements:  \n1. Credits:'
 'graduate. Credit will not be allowed for more than 21credit hours in a fall or spring term.  \nMeadows School of the Arts.  Students are not permitted to enroll during a fall or spring term for more than 18 credit \nhours unless their GPA for the preceding term is at least 3.000. During the term in which a student is to graduate, he \nor she may enroll for 19 credit hours (or nine  hours for a summer session) regardless of the preceding term GPA. A'
 'Admission as an External Transfer Student  \nStudents applying for admission to Meadows School of the Arts by transfer from another accredited educational institution should request a transfer application from the Division of Enrollment Services. Transfer applicants who \nhave completed 30 transferable  hours with a GPA of 2.700 or better are often successful in gaining admission to the']",1,0.9297242643170307,0.6204059957172733,1,0.9999999999666667
multi_context,"What pre-term programs assist new and readmitted students in transitioning to University academic life, and how can returning students ensure a smooth reintegration process?","To assist new and readmitted students in making a comfortable, satisfying transition to University academic life, programs of academic advising, enrollment, and orientation are conducted prior to each term. Returning students must forward official transcripts from each college or university attended since last enrolled at SMU.","New and readmitted students are assisted in transitioning to University academic life through programs of academic advising, enrollment, and orientation conducted before each term. Returning students should apply for reactivation or reinstatement at least 60 days before the start of the term of re-entry, with separate applications for financial aid and residence halls. To ensure a smooth reintegration process, returning students should schedule conferences with academic advisers and the school's records office to ensure they meet all University and graduation requirements.","['instructions at https://www. smu.edu/EnrollmentServices/registrar/Enrollment.  \nTo assist new and readmitted students in making a comfortable, satisfying transition to University academic life, \nprograms of academic advising, enrollment and orientation are conducted prior to each term. Information concerning the programs is distributed by the Office of Orientation and Transition Program.'
 'Returning students are strongly advised to apply for reactivation or reinstatement at least 60 days prior to the start of \nthe term of re -entry. Returning students should note that separate applications exist for financial aid and residence \nhalls and that they should contact these offices as early as possible. The deadline for filing this application and \nsupporting materials for domestic students is one month prior to the first day of classes of the term of re -entry.'
 'Programs for Preprofessional Students  \nPreprofessional students should become familiar with the entrance requirements of the particular professional school they intend to enter. Requirements differ to some extent even within the same profession, and some schools require that specific courses be included in the preprofessional curriculum.  \nPrelaw'
 ""schedule conferences with their academic advisers and the school' s records office upon admission to a school and \nprior to their final term to ensure that they are meeting all University and graduation requirements.  \nEach fall, spring and summer term has an enrollment period during which the formal process of enrollment in the \nUniversity is completed. Prior to each enrollment period, the University Registrar's Office will publish enrollment""]",1,0.9300437167185654,0.5584318258684156,0.5,0.9166666666361111
multi_context,"What are the payment terms for room charges at SMU, and how can students with special housing needs ensure accommodations are met?","Room charges for the fall term are billed and payable in advance for students who register before August 1, while room charges for the spring term are billed and payable in advance for students who register before December 1. Students who register after these dates must pay at the time of registration. If a student moves out at any time during the school year, room charges for the full academic year will be due and payable. Students with special housing needs due to a disability should contact the SMU Office of Disability Accommodations and Success Strategies to establish eligibility for accommodations. When applying for housing, students should also submit information to RLSH regarding a request for accommodations. DASS and RLSH will collaborate with the student to make necessary accommodations.","Room charges at SMU are due and payable for the full academic year if a student moves out at any time during the school year. Students with special housing needs should contact the SMU Office of Disability Accommodations and Success Strategies to establish eligibility for accommodations. When applying for housing, students should also submit information to RLSH regarding a request for accommodations.","['after these dates must pay at the time of registration. Room charges for the full academic year will be due and payable should a student move out at any time during the school year. Accommodations for shorter periods are available only by special arrangement with RLSH before acceptance of the housing license agreement. It is \nimportant that applicants become familiar  with the license agreement, as it is a legally binding document.  \nResidence Halls and Apartments  \nResidential Commons at SMU'
 'question: When do I sign up for housing?\nanswer: After you’ve been admitted to SMU and we receive your nonrefundable $800 Orientation, Housing and Matriculation deposit, \nyou will receive an email with directions on how to apply for housing.'
 'service.  \nSpecial Housing Needs  \nStudents having special housing needs because of a disability should contact the SMU Office of Disability Accommodations and Success Strategies in order to establish eligibility for accommodations. When applying for \nhousing, students should also submit inf ormation to RLSH regarding a request for accommodations. DASS and \nRLSH will work together with the student on their specific situation to make necessary accommodations.  \nGeneral Housing Information'
 'question: How much does it cost to attend SMU?\nanswer: Tuition and fee charges may be found on the Bursar website.']",1,0.8274858079664712,0.5370052943362147,0.6666666666666666,1
simple,What information is provided by Southern Methodist University regarding public safety?,"Southern Methodist University provides information regarding academic programs, enrollment, financial aid, public safety, athletics, and services for persons with disabilities.","Southern Methodist University provides information regarding public safety, including services and programs that promote the safety and security of the campus community. The University Police Department collaborates with surrounding municipal, state, and federal agencies to ensure the safety of students both on and off-campus. Crime statistics are reported annually, and the university participates in the FBI's Uniform Crime Reporting Program.","['97 \n Right to Know  \nSouthern Methodist University is pleased to provide information regarding academic programs, enrollment, \nfinancial aid, public safety, athletics and services for persons with disabilities. Students also may obtain paper copies of this information by contac ting the appropriate office listed below. Disclosure of this information is pursuant to \nrequirements of the Higher Education Act and the Campus Security Act. More information is available at www.smu.edu/srk.'
 '53\nSouthern Methodist University is pledged to fulfill its promise as a private university of \nthe highest quality. Toward that end, a variety of services and programs are offered which are \nconducive to the support of the learning that occurs in the classroom. Uppermost among the \nservices and programs are those that promote the safety and security of the campus community.\nJURISDICTION OF THE UNIVERSITY POLICE\nLaw Enforcement Authority'
 'students at off-campus locations. Surrounding municipal agencies, state law enforcement \nagencies such as the Texas Alcoholic Beverage Commission (TABC), and federal agencies \nroutinely inform campus police about incidents where their officers contact SMU students. \nAnnually, the department also requests area agencies to provide crime statistics for those \nareas immediately adjacent to the campus boundaries. When received, these statistics are \nincluded in the Annual Security Report.'
 'other unsafe conditions are reported daily to the Facilities Management & Sustainability \nOffice for repair or correction.\nCRIME STATISTICS\nSouthern Methodist University has participated in the FBI’s Uniform Crime Reporting \nProgram since 1967. In January 2021, the Southern Methodist University Police Department \nbegan submitting data on crimes to the National Incident-Based Reporting System (NIBRS). \nThis is an incident-based reporting system used by law enforcement agencies in the United']",1,0.9788035595955682,0.3590649914895234,1,1
simple,What is the process for matriculated students to obtain pre-approval from the Office of General Education for activities that are not pre-approved programs or organizations?,Matriculated students wishing to use activities that are not pre-approved programs or organizations must obtain pre-approval from the Office of General Education before starting the activity.,"Matriculated students must obtain pre-approval from the Office of General Education before starting activities that are not pre-approved programs or organizations. Requests for pre-approval can be submitted through a formal request to the Office of General Education. The Office of General Education reviews and evaluates these requests, with appeals possible to the Committee on Academic Petitions.","['79 \n In all cases,  matriculated students wishing to use activities that are not pre -approved programs or organizations must \nobtain pre -approval from the Office of General Education  before  starting the activity.  \nCivics and Individual Ethics  \nAs a result of Civics and Individual Ethics (CIE), students will demonstrate an ability to engage in ethical reasoning \nabout civic and individual life. Moral judgments confront us everywhere. Ethical reasoning provides students with'
 'through transfer courses or individual  activities by submitting a formal request to the Office of General Education.'
 'Outcomes and Content Criteria associated with the CC requirement being petitioned. These requests will be \nreviewed and evaluated by the Office of General Education. A ppeals of decisions by the Office of General \nEducation may be made to the Committee on Academic Petitions.  \nThe Office of General Education recommends that students work closely with divisional/departmental and academic \nadvisers to navigate the Common Curriculum requirements and plan their coursework each term using Degree'
 'preapproval of the senior associate dean of academic affairs.']",1,0.9392384460940798,0.5393099677428286,1,1
simple,Why is it important for students to obtain pre-approval of transfer work before taking courses at another accredited college or university?,It is important for students to obtain pre-approval of transfer work before taking courses at another accredited college or university to ensure that the course will transfer and proper credit will be awarded. This process helps students avoid wasting time and effort on courses that may not be accepted for credit by their undergraduate schools.,"It is important for students to obtain pre-approval of transfer work before taking courses at another accredited college or university to ensure that the course will transfer and proper credit will be awarded. Without pre-approval, students may have to petition later for transfer credit with no guarantee of credit being awarded. Permission for transfer credit may also be denied for educational reasons.","['Associates and Bachelor of Applied Science degrees will not be considered for credit by the undergraduate schools.  \nCourses taken at another U.S. institution where the instruction is in the U.S.: To ensure in advance that a course \ntaken at another accredited college or university will transfer and that proper credit will be awarded, the student \ntaking the course should obtain pre -approval.  Electronic petitions for pre -approval of transfer work are available on'
 ""the Registrar's Office Forms Library at smu.edu/registrar. Students who fail to secure prior approval for transfer \nwork taken within the United States must petition  later for transfer credit, but they have no assurance that credit will \nbe awarded. In either case, permission may be denied for educational reasons.  \nCourses taken at International Institutions or International Campuses of U.S. Institutions:  Without Education""
 ""prerequisites as well as course content to maximize the value of each course and to avoid enrolling in a course for \nwhich a student has insufficient preparatory background.  \nEach student's file, reflecting his or her total academic record, is located in the B.B.A. Academic Advising and Records Office. Transcripts of the student's official record should be requested from the Office of the Registrar.  \nAdvising""
 'PREPARE FOR ADVISING\nAll students must complete the Pre-Advising Canvas Course \n(PACC) before meeting with an advisor. After completing the \nPACC, you will set up an appointment with an advisor from the \nUniversity Advising Center or from the school of your chosen \nmajor. During this session, your advisor will help you understand \nyour incoming transferable credits and how they may be applic-\nable to your chosen major and the CC. You may also identify']",1,0.9999999999999996,0.6201626058777281,1,1
reasoning,How does ethical reasoning benefit a liberal arts education at SMU?,"Ethical reasoning benefits a liberal arts education at SMU by providing students with foundational skills to reflect rigorously on ethical issues, apply ethical reasoning in civic and individual life, identify their own ethical convictions, think self-critically about them, and reflect on their merits. This is a key component of a liberal arts education at SMU.","Ethical reasoning benefits a liberal arts education at SMU by providing foundational skills to reflect rigorously on ethical issues and apply ethical reasoning in civic and individual life. It allows students to identify their own ethical convictions, think critically about them, and reflect on their merits, which is a key component of a liberal arts education. SMU's commitment to interdisciplinary inquiry and in-depth study in a particular field of interest further enhances the development of ethical reasoning skills within a liberal arts framework.","['foundational skills to reflect rigorously on ethical issues and to apply ethical reasoning in civic and individual life. It \nallows students to identify their own ethical convictions, think self -critically about them, and reflect on their merits. \nThis is a key component of a libe ral arts education.'
 'their academic learning with direct action and involvement. In this \nway, students develop collaborative skills and enhanced perspec -\ntives that will serve them throughout their lives. \nStudents can fulfill this proficiency through Engage Dallas in their \nResidential Commons, Mustang Heroes or Alternative Breaks.\nCivics and Individual Ethics (CIE)\nMoral judgments confront us everywhere. Ethical reasoning  \nprovides students foundational skills to reflect rigorously on'
 'question: What exactly is a ""liberal arts"" curriculum?\nanswer: The liberal arts disciplines include the humanities, the natural and the mathematical sciences, and the social sciences. With a foundation in the liberal arts, the SMU student gets a complete education - as a professional in a chosen career, a citizen in the world of ideas, \nand a full-fledged participant in life itself. SMU\'s general requirements in the liberal arts (the Common Curriculum) provide students with an exceptional educational opportunity.'
 'to the concept of a rigorous and relevant liberal arts undergraduate education. All SMU undergraduate degree \nprograms reflect this commitment by encouraging students to combine broad, interdisciplinary inquiry with in- depth \nstudy in a particular field of inte rest. \nPreface to the Curriculum  \nAll SMU undergraduates participate in general education. General education provides students with a broad']",1,0.8198907222900003,0.7939910526406809,1,0.9999999999666667
reasoning,"What factors are considered for merit scholarships at SMU for incoming first-year students who are National Merit finalists or IB Diploma recipients and Texas residents, and how can they apply?","High academic accomplishments or achievement in the arts, being National Merit finalists or International Baccalaureate Diploma recipients, being dependent children or spouses of ordained United Methodist ministers engaged in full-time, church-related vocations, and being Texas residents are considered for merit scholarships at SMU for incoming first-year students. To apply, students must complete the SMU admission application with all supporting materials by January 15, file the FAFSA and CSSProfile by November 1 for Early Decision/Early Action or by February 15 for Regular Admission, and complete the online SMU Application for Scholarships.","SMU considers high academic accomplishments, National Merit finalists, IB Diploma recipients, and Texas residency for merit scholarships for incoming first-year students. To apply, students must complete the SMU Application for Admission and submit the Free Application for Federal Student Aid (FAFSA) and CSS/Financial Aid Profile by January 15. Additional consideration is given to dependent children and spouses of ordained United Methodist ministers engaged in full-time church-related vocations.","['Student Aid at www.studenta id.gov. Texas residents who do not qualify to file the FAFSA may qualify for \nassistance through the State of Texas  by filing the Texas Application for State Financial Aid (TASFA).  All students \nare considered for SMU merit -based scholarships at the time of admission.   \nIn addition to available federal and state aid programs, SMU offers several merit scholarships and grant programs to students who meet the following specific criteria:'
 '• High academic accomplishments or achievement in the arts.  \n• National Merit finalists and International Baccalaureate Diploma recipients.  \n• Dependent children and spouses of ordained United Methodist ministers engaged in full -time, church -\nrelated vocations. (Additional application required.)  \n• Texas residents.  \nPrimary consideration for merit scholarships and need- based financial aid will be given to the following:  \n1. Entering first -year students who'
 'For information regarding artistic scholarships, please visit our website: smu.edu/affordmeadows.  \nTo receive primary consideration for all SMU merit scholarships and other aid, students should comply with the \nfollowing schedule:  \nBy January 15  \n• Complete the SMU Application for Admission.  \n• Submit the Free Application for Federal Student Aid at www.fafsa.ed.gov and the CSS/Financial Aid \nProfile at www.collegeboard.org.'
 'Scholarship and Financial Aid  \nMatriculated SMU students may apply their institutional and federal financial aid to their abroad program. Students should consult with SMU Financial Aid for details.  \nSMU Abroad offers a limited number of study abroad scholarships. Students apply separately for these scholarships during the SMU Abroad application process. In addition, many departments and other academic units on campus']",1,0.9218779836503052,0.8059418101070228,1,1
multi_context,What skills do students gain from the Civics and Individual Ethics program at SMU?,"Students gain the ability to engage in ethical reasoning about civic and individual life, reflect rigorously on ethical issues, apply ethical reasoning in various contexts, identify their own ethical convictions, think self-critically about them, and reflect on their merits. These skills are essential components of a liberal arts education.","Students gain collaborative skills and enhanced perspectives from the Civics and Individual Ethics program at SMU. These skills will serve them throughout their lives and help them reflect rigorously on moral judgments. Additionally, students develop moral courage, recognize their role in a larger community, and uphold community values with personal integrity.","['their academic learning with direct action and involvement. In this \nway, students develop collaborative skills and enhanced perspec -\ntives that will serve them throughout their lives. \nStudents can fulfill this proficiency through Engage Dallas in their \nResidential Commons, Mustang Heroes or Alternative Breaks.\nCivics and Individual Ethics (CIE)\nMoral judgments confront us everywhere. Ethical reasoning  \nprovides students foundational skills to reflect rigorously on'
 'Civics and Individual \nEthics (CIE)  Course or Experience  By graduation  By graduation  \nCommunity Engagement \n(CE) Course or Experience  First or second year; \ncomplete in the co -\ncurricular experience if a \nmajor/minor required \ncourse contains tag  By graduation  \nGlobal Perspectives (GPS)  Course or Experience  Within three years at SMU  By graduation  \nHuman Diversity (HD)  Course or Experience  By graduation  By graduation'
 'the process of learning and evaluating academic performance.\n •   Moral courage.\n  As a member of the SMU community, students recognize they are part of \nsomething larger than themselves, and as such, have the moral courage to \nuphold the values espoused by this community.\n •   Personal integrity.\n  Being honest with oneself and with others is critical to being a member of \na community. This includes taking responsibility for one’s actions and the \nconsequences associated with those actions.'
 'and CIE.  \nCommunity Engagement  \nAs a result of Community Engagement (CE), students will demonstrate the combination of knowledge, skills, \nvalues, and motivation necessary to contribute to the civic life of communities. Undergraduate students at SMU \nmust complete one approved community engagement activity, through a course, a cultivated experience, or, with \napproval, on their own.']",0.7142857142857143,1.000000000000002,0.6408729547073954,0.4,1
