question, answer
What do I need to declare my major? What if I want to add a second major? What if I want to add a minor?,"Some majors have specific subset requirements you need to complete before you can apply/declare that major. 
To view the subset for majors outside of Cox, go to the SMU Catalog, click on your school, then, under your major, click on Go to information for this school/college. 
If youâ€™ve already successfully completed your subset requirements, you need to fill out a Major Declaration Form with your academic advisor in the UAC. 
After youâ€™ve declared a major with your UAC academic advisor, you may declare your second major and/or a minor with your
 School of Record (Dedman, Meadows, Cox, or Simmons). You cannot add a minor before declaring your major."
What are the requirements to get into Cox? What if I don't get in?,"To view the admissions requirements for Cox, go to the SMU Catalog of your year of entry. Click on Cox School of Business, 
then Go to information for this school/college, and then Admission. Always have a back-up plan for any major you are interested in. 
If you don't meet the subset requirements for a major of interest, speak with your academic advisor about your other academic and career options. 
In addition, you may visit with a Career Counselor in the Hegi Family Career Center about requirements for jobs youâ€™re interested in and begin exploring the different majors SMU offers."
What are my major degree requirements?,"Your major requirements are listed in the SMU Catalog of your year of entry (if you started in Fall 2018 or Spring 2019, you are under the 2018-2019 Catalog). 
To view your major requirements, go to Majors and Minors to view a list of all SMU majors and minors and then click on your major. 
You may also go to the school your major is under (for example, if you are an Advertising major, click on Meadows School of the Arts) and 
find your major from there."
What if I don't know what to major in?,"That's OK! Use your UC/CC requirements and electives as a way to explore possible majors. 
You may also visit with the Hegi Family Career Center to help narrow down your options."
How do I know what textbooks I need?,"1. Go to Manage Classes tile on my.SMU.
2. Select the term for which you'd like to view the textbook list.
3. Click on View Textbooks towards the top of the page (right above Class Schedule Filter Options)."
How do I view my Transfer Evaluation Report (TER)?,"1. From your Student Dashboard, click on Academics.
2. Select Request Transfer Evaluation
3. Click the ""Go"" button to request the report.
4. After you click ""Ok,"" the Transfer Evaluation Report will be sent to your SMU email account."
How do I drop a class?,"1. Expand the Enrollment section in your Student Dashboard and select Drop Classes.
2. Select the appropriate term.
3. Check the box nect to the class you want to drop.
4. Click Drop in the top right.
5. Confirm that you want to drop by clicking Drop."
How do I know who my academic advisor is?,"1. Expand the Advisor Information section in your Student Dashboard.
2. Click on Advisor Information."
How do I know if I have holds,"Some holds may prevent you from enrolling in classes. Here's how to determine what holds you have:
1. Go to your Student Dashboard in my.SMU.
2. Click on any items in the Holds section to view instructions to remove the hold.
Try to resolve all your holds well in advance of your enrollment time!"
When can I enroll in classes?,"Here's how to determine the date and time you may begin enrolling in the next term's classes:
1. Expand the Enrollment section on your Student Dashboard in my.SMU.
2. Select Enrollment Dates.
3. Select the appropriate term."
How do I swap a class?,"1. Click the Enrollment section on your Student Dashboard and click Swap Classes. 
2. Click the Swap This Class button to the right of the course you want to swap out of.
3. Find a class to swap into: 
3a.With class from Search: This option takes you to the Advanced Class Search to find the course.
3b. With class from Shopping Cart: If you already have the course in your Shopping Cart, use this option.
3c. With class from Class Number: If you know the exact class number, use this option. (Note: The class number is different from the course number.)
4. Click the Swap button.
5. If applicable, make any lab/lecture and waitlist selections.
6. Confirm that your selections are correct and click confirm"
What is my Degree Progress Report (DPR) and how do I find it?,"Your Degree Progress Report (DPR) details the progress you are making toward fulfilling your SMU degree. 
It is viewable through my.SMU by expanding the Academics section of your Student Dashboard and clicking on Degree Progress. 
For assistance reading and understanding your DPR, you may visit with your academic advisor. 
You may also find additional information in the Understanding the DPR document provided by OIT."
How do I get on the waitlist for a class? How does it work?,"If a course you're interested in is waitlisted, follow these steps to add yourself to the waitlist:
1. Follow the steps to enroll in the course. After clicking on Enroll, a popup titled ""Enrollment options"" will appear.
2. Make sure the ""Wait list if class is full"" box is checked.
3. If you want to drop out of a another course if you are successfully enrolled from the waitlist, use the drop-down box to select the course. 
If you don't want to drop any courses if you're enrolled in the waitlisted course, leave the drop-down blank.
4. Click save.
A few things to keep in mind:
- Waitlisted courses count towards your maximum hours.
-You will not be notified if you are enrolled in the class so please monitor your schedule.
-You won't be enrolled in the course if you don't meet the course requirements or have a scheduling conflict 
(unless you utilized the drop-down box to swap out of the conflicting course).
-If you are enrolled in one section of a course and on the waitlist for another section, you will not move off the waitlist unless you utilize the drop-down box. 
-The waitlist will run through the fifth day of class during the fall and spring terms and the first day of class during the summer term."
How do I add a class?,"1. Expand the Enrollment section in your Student Dashboard and select Shopping Cart.
2. Select the appropriate term.
3. Expand the Add Class button and select Advanced Class Search.
4. Enter your search terms, then click Search.
5. A list of available classes will appear. Once you find an open section you would like to enroll in, click the vertically aligned ellipsis and 
select Enroll if you're ready to enroll or Add to Cart if you want to add the course to your Shopping Cart. (Note: Select Add to Cart if the course requires a corequisite.)
6. If a lab section is required, follow steps 4 and 5, using the Add to Cart selection.
7. If you utilized the Add to Cart option, the class will now be added to your shopping cart. To finish enrolling, go to your Shopping Cart (step 1 above), 
select the course(s) you want to enroll in, and select Enroll.
If there are empty seats in the class and no prior departmental consent is required, you will receive a confirmation of enrollment. 
If you receive an error message, check the enrollment restrictions for the class to see if you meet the criteria."
Why is my class not showing up on Canvas?,"Not all classes are posted on Canvas. If your course is supposed to be on Canvas, 
it's most likely not there because you've recently added the course to your schedule. 
To gain access to your course faster, you may contact your instructor or OIT for assistance."
"What year am I (first-year, sophomore, junior, senior)?","SMU classifies students according to the number of credit hours they've earned:
First Year: 0-29 credit hours earned
Sophomore: 30-59 credit hours earned
Junior: 60-89 credit hours earned
Senior: 90 or more credit hours earned"
Can I take courses at my local college or university?,"Sometimes. Once you become a student at SMU, you can't transfer any credit from a community college back to SMU. 
You may be able to take classes at your local, accredited, four-year institution. Once you've identified a course you wish to take, 
get a syllabus and work with your academic advisor on a petition to request approval to take the course."
How many hours do I need to graduate from SMU?,"Students under the University Curriculum need to complete at least 122 credit hours and 
students under the Common Curriculum need to complete at least 120 credit hours. This minimum hour requirement includes the requirements for your major and UC/CC."
What is PRW?,PRW stands for Personal Responsibility and Wellness. It is one of the UC requirements. Students under the CC requirements do not need to take a PRW course. 
What are the basic questions to ask the Financial Aid Office?,"What are the total costs I will need to cover as a student at SMU? How does this package of aid you have offered me cover those costs? 
How much will I need to borrow, and with what types of loans? What lenders do you recommend, and why? 
Do you have any financial relationship with the lenders you recommend?"
What applications do I need to complete to apply for financial aid?,"All students must complete the Free Application for Federal Student Aid (FAFSA) each year to determine their eligibility for federal and state financial aid (found at www.fafsa.ed.gov). 
Undergraduate students who also want to be considered for university need-based aid must complete the CSS/Financial Aid PROFILE® found at http://student.collegeboard.org/css-financial-aid-profile. There is a $25 cost for completing the CSS/PROFILE®."
What is SMU's school code?,The FAFSA school code is 003613 The CSS/PROFILE® code is 6660.
Can you make too much money to qualify for financial aid?,"Although some students may not qualify for need-based aid in the form of grants, 
most students qualify to receive non-need based federal loans."
Do I have to re-apply for financial aid each year?,"Yes, all students must re-apply by renewing their FAFSA each year. 
Undergraduate students must also renew their CSS/PROFILE® application each year in order to be considered for university need-based aid."
When is the deadline to apply for financial aid?,"The priority deadline for first-year undergraduate students is February 15th each year. SMU has a priority deadline of April 15 for continuing undergraduate students so that financial aid advisors can award as much aid as possible after spring grades post in May. 
An undergraduate student who applies after the priority deadline may not receive primary consideration since certain financial aid funds can be limited. Graduate and professional students may file any time during the academic year; there is no priority deadline. However, SMU recommends filing the FAFSA no later than May 1st in order to secure funding before the start of the term."
"My parents don't claim me on their taxes, and I support myself. Can I claim myself as independent and only use my information on the FAFSA?","No. Most students who cannot answer ""Yes"" to at least one of the thirteen (13) dependency questions 
on the FAFSA must still include their parents' information."
My parents are divorced. Whose information do I use on the FAFSA?,"In most situations, you should use the custodial parent's information (and step-parent if s/he has remarried). 
This is the parent with whom you live the most and receive the most financial support."
What if I move off campus?,"After the second year a student is allowed to live off campus. SMU finds the expenses for living off campus less than living on campus. Please review the off campus budget listed on the costs page because your aid will be reduced accordingly. If a student needs more funds to cover their off campus housing expenses, please contact your financial aid advisor.
"
Do I have to live on campus?,"All 1st year students are required to live on campus or with parents. On rare occasions, students may apply for approval to live off campus with other relatives.
To inquire about this exception go to residential life. Please review the cost page for allowances for living off campus, 
your aid will be decreased to account for the decreased budget for housing."
Why would my financial aid package change if I change my housing arrangements?,"In order to determine how much a student may receive in financial aid, schools must first determine how much it will cost you to go to school.  The â€œTotal Cost of Attendance, often referred to as the COA, is the starting point for all financial aid awards.  It includes Tuition/Fees, Housing/Dining, an allowance for books/supplies, an allowance for transportation expenses, and an allowance for personal/miscellaneous expenses, all of which are combined to establish the total COA. Any change to one of the individual COA components will change the total COA
The COA serves as the maximum limit a student may receive in financial aid.  The combined total of all financial aid programs cannot exceed the COA. Therefore, a change in housing will change the COA which, as a result, changes the amount you may receive in financial aid.
Although, living on-campus housing provides many benefits, the costs for living on-campus are considerably higher than the cost of living at home.  Therefore, a change in housing from on-campus to living at home could result in a reduction in financial aid need based eligibility."
What financial aid awards may change?Â ,"Any need-based financial aid may change including federal, state and University need-based awards.  
For our institutional aid you may incur a reduction in the SMU Opportunity Award in your financial aid package."
What is the SMU Opportunity Award?Â ,"This is an SMU need-based grant that is awarded after all scholarships, federal and state grants have been added to your financial aid package and is based on your demonstrated need that is not met by any and all other scholarships or grants."
Will a change in housing impact my academic or talent-based scholarship be impacted?,"No, a change in your housing arrangements will not impact scholarships."
Will I have to pay more to the University?,"It depends on the change.  Every student's financial situation is unique.  If changing from on-campus to living at home, most student owe much less.  We recommend that you contact your financial aid advisor to see what the full impact will be for you.  Contact information for your financial aid advisor can be found here."
I have or will apply to live at home in the fall but return to on campus housing for the spring.Â  What happens to my aid?Â ,"When you return to on campus living your educational costs will reflect the cost of living on campus.  
Your spring aid would be reviewed and adjusted accordingly."
I have or will apply to live at home for the entire year.  What happens to my aid? ,"If you apply to live at home for the year, then you would petition through Residence Life.  If you receive an exemption from living on campus, your educational costs would be changed to reflect living at home and your financial aid adjusted accordingly."
I have or will apply to live at home through DASS for a COVID-19 related exemption.  What happens to my aid? ,"Depending upon where you will be living after your exemption is approved, your educational costs 
and aid will be adjusted to reflect your housing choice."
I have or will apply to live at home and will attend remotely for the academic year.  What happens to my aid? ,"If your petition to live at home is approved, your educational costs would be adjusted to reflect the 
living at home arrangement and your financial aid would be adjusted accordingly."
"I have been approved to live at home and will attend remotely for the academic year, can I change my mind?Â ","You should immediately contact Residence Life if you decide you would like to return to campus.  
If you are able to make this change, you should then contact your Financial Aid Advisor to make the changes to your educational costs and awards to reflect living on campus."
How do I apply for a Pell grant?,You are automatically considered for this federal need-based grant when you complete the FAFSA.
Are graduate students eligible for grants?,"Although graduate students are not eligible for federal grants like the Pell grant,
 they may be eligible to receive the state Tuition Equalization Grant (TEG)."
How do I apply for more scholarships?,"While university scholarships awarded during the admissions process are set, students are encouraged to apply for outside scholarships through websites like www.fastweb.com and www.collegeboard.com."
Are funds from Federal Work Study credited to my account?,"No, students must work a Federal Work Study job in order to receive a bi-weekly paycheck. 
Students are able to use these paychecks as they see fit."
Will SMU help me find a job?,The Hegi Family Career Center maintains a database of Federal Work Study and non federal work study campus jobs. We encourage the student to directly contact the hiring department. The Student Employment Office offers support to students and employers.
Does SMU provide a list of lenders from which to choose private educational loans?,"Like numerous institutions across the country, SMU provides students and families a list of lenders to 
assist them in navigating the complexities of borrowing a private educational loan, however a borrower can choose any lender not on SMU's lender list."
Can students and parents use other lenders?,"Yes, SMU allows students and their families to choose their own lender even if not on our list of lenders. 
SMU encourages all students to investigate a lender before choosing them."
What kind of research should I do regarding choosing a lender?,"You should compare repayment benefits and discounts with different lenders you are reviewing including finding out if the repayment benefits are still applicable if the lender sells your loan to another servicer or lender. 
Some other things you can ask are what percentages of borrowers actually end up qualifying for the repayment benefits; what timeframe their customer service is available; if interest rates are fixed or variable; 
if interest rates are reduced for on-time payments or auto debit; and when repayment starts and if interest accrues between disbursement and repayment."
How does SMU pick lenders for the lists?,"SMU sends an extensive survey to loan companies interested in processing private loans for students of the university. The survey is used to rate lenders for inclusion on one or more of the preferred lender lists. The university seeks lenders who offer the best customer service, secure electronic processes, repayment benefits, lowest origination points, and other benefits. You may contact the loan administrator at enrol_serv@smu.edu for further information on lender list selection. SMU does not receive any payments, benefits or perks from lenders for consideration of inclusion on the SMU lender lists."
Where do I view my bill?,"Student and miscellaneous accounts can be viewed online at SMUPay, which is found through the 
""Financial Account"" panel located on the My.SMU Student Homepage."
My bill doesn't look correct. What should I do?,You should contact Student Financial Services at 214-768-3417 or via email at enrol_serv@mail.smu.edu and speak with a Student Account Specialist regarding specific bill or account related questions.
How much does it cost to attend SMU?,Tuition and fee charges may be found on the Bursar website.
What happens to my financial aid if I drop a class?,"As long as undergraduate students remain enrolled in 12-18 hours, they are still considered full-time; therefore, their financial aid will not be affected. However, students who drop below 12 hours should check with their financial aid advisor regarding any possible changes to their financial aid package."
Must I be full-time to receive financial aid?,"If an undergraduate student is receiving federal and institutional need based aid, 12 hours is considered full time. However, SMU encourages all undergraduate students to enroll and complete 15 hours each semester so that they may graduate in 4 years (8 semesters). 
Sometimes completing 15 hours per semester may not be sufficient to graduate in 4 years, so students should consider attending summer school for 1-2 terms."
How many terms may I receive financial aid?,"Typically, institutional scholarships and need based aid are awarded for 8 semesters only to those who began SMU as first-year undergraduate students; students who enrolled as transfers usually receive institutional scholarships and need based aid for 5 semesters only."
How do I contact my financial aid advisor?,"Most financial aid related questions can be answered by our trained Enrollment Resources staff either over the phone or by coming to our service counter.
However,  we understand that there may be times when you need to speak with a designated financial aid advisor regarding circumstances that are unique to you.  Our advisors are available to assist students and families by phone, by appointment or if you just happen to be in the building and want to drop by.  
We're here to help.   All advisors may be reached via email at enrol_serv@smu.edu, by phone at 214-768-3417, or in person by appointment or walk-in. 
 Just check in through our service desk located on the first floor of the Blanton Student Services Building.  "
When do I register?Â ,"You may register during orientation, which you complete after you have applied and been admitted to SMU. 
Orientation is available for both incoming first year students and transfer students."
How do I know what classes to take?,"Upon entering SMU, you will begin fulfilling two general sets of requirements necessary to graduate: the Common Curriculum that all students must satisfy regardless of major, and the requirements specified by the major itself. 
First-year students are assigned to an academic advisor from Dedman College. Your advisor will work with you regarding selection of classes."
When can I see my academic advisor?,"You are assigned a professional advisor at orientation and are required to connect with him/her before registration each semester. You can also set up appointments on your own time throughout the semester. 
SMU provides students with a well-staffed, award-winning advising center of professional, full-time advisors."
"What exactly is a ""liberal arts"" curriculum?","The liberal arts disciplines include the humanities, the natural and the mathematical sciences, and the social sciences. With a foundation in the liberal arts, the SMU student gets a complete education - as a professional in a chosen career, a citizen in the world of ideas, 
and a full-fledged participant in life itself. SMU's general requirements in the liberal arts (the Common Curriculum) provide students with an exceptional educational opportunity."
How and when will I choose a major?Â ,"SMU offers more than 100 undergraduate majors and 85 minors. Your academic advisor and many other support systems are available to help you choose your major. 
You will make this decision by the end of your sophomore year."
May I declare my major during my first year?,"Upon entering SMU, you may declare your intended major. All students enter the university through Dedman College of Humanities and Sciences. 
You may not officially declare your major until you have successfully completed at least 24 hours and satisfied the entrance requirements for your intended major."
Does SMU have an honors program?,"Yes. Students participating in the program will take 7-8 special courses within the University Curriculum which encourage deeper understanding through interdisciplinary thinking and learning. 
The honors program offers small, discussion-focused classes. Entrance is by invitation."
What is the average class size at SMU?Â ,"The average class size is 22. Seventy percent of our classes contain 25 students or less. 
Students don't get lost in large lecture courses conducted by graduate students. SMU students learn from senior faculty in small classes."
What is the student-to-faculty ratio?,11:1. Classes are small enough to encourage close faculty-student interaction.
Will graduate students teach most introductory classes?,"No. Almost all classes at SMU are taught by faculty, not graduate students."
Will I have the opportunity to study abroad?,"Yes. SMU offers summer, semester and year-long opportunities to live, study and travel in foreign countries.
SMU Abroad offers 148 programs in 50 countries."
Will SMU send my grades to my parents?,"The Family Educational Rights to Privacy Act of 1974 states that no personally identifiable information from a student's record will be disclosed to a third party without prior written consent from the student. 
Grades may be released to parents if either the student completes a release form or the parent completes a Declaration of Dependency form. These releases are available in the Registrar's office. Once SMU has an approved release on file then the parent or student can request an official transcript."
Who can I talk to about my son/daughter's academic progress?,"It is our sincere hope that all of our students communicate with their families about their academic progress. 
If you have concerns or questions, you may contact your son or daughter's academic advisor. Please be aware that federal law prohibits us from discussing specific academic information unless we have obtained explicit permission from the student in the form of a signed release. 
Without this release, advisors are happy to discuss general university policies and procedures, as well as resources available to SMU students and families;
 however, we cannot discuss details related to a specific student."
What resources does SMU provide to help students academically?,"In addition to advising, SMU provides tutoring through the Altshuler Learning Enhancement Center (A-LEC). 
Students are also encouraged to visit the Hegi Family Career Center to explore different career paths, work on their resume, and develop interview skills."
How can I get more information on scholarships and financial aid?,"Academic advisors do not have access to students' financial information, so we recommend contacting 
Financial Aid for any questions about scholarships and other aid packages. For billing questions, please contact the Bursarâ€™s Office."
My son/daughter has a learning disorder/disability - who should we contact about accommodations?,"Disability Accommodations and Success Strategies (DASS) is located in the A-LEC. 
This office works closely with students to determine appropriate accommodations and develop techniques that foster achievement in a university setting."
My student came to SMU for a specific major but has not met the admissions requirements - what now?,"We know that this can be a difficult time for both students and their families. Everyone has invested time and resources into this path and it takes time to accept the loss of goals, plans, and hopes. 
The good news is that SMU offers a plethora of majors and minors that lead to diverse career opportunities. There is sure to be a course of study that is suitable to the studentâ€™s interests, strengths and abilities. 
What begins as a time of frustration can lead to tremendous growth and self-actualization."
I'm wondering about the schedule for registration/holidays/finals  - where can I find this information?,"Each year, the Office of the Registrar publishes the undergraduate academic calendar 
that contains all of the important dates for the academic year."
Does SMU award credit for classes taken at another college or university after starting at SMU?,"In most cases, yes, students may transfer credit from other accredited, four-year institutions to SMU. The semester before the student plans to study away from SMU, he or she should complete an Advance Approval of Transfer Credits form, 
which requires each course to be evaluated and approved by an academic department. Upon completion of the course, the student may be responsible for demonstrating specific Student Learning Outcomes to satisfy University Curriculum components or Common Curriculum Proficiencies & Experiences."
Who is required to live on campus?,"All first- and second-year students are required to live on campus in SMUâ€™s Residential Commons. The on-campus requirement is also met by second-year students who are eligible to reside in SMU Greek housing. 
First-Year transfer students who are under the age of 20 by the first day of classes must also live on campus. 
Traditional transfer students may request, but are not guaranteed, housing."
How many students live on campus?,"Approximately 2,680 first- and second-year undergraduate students live in 11 Residential Commons. 
About 450 upper division students live in five residence halls."
When do I sign up for housing?Â ,"After you've been admitted to SMU and we receive your nonrefundable $800 Orientation, Housing and Matriculation deposit, 
you will receive an email with directions on how to apply for housing."
When do I get my health form?,The Health History Form is downloaded from theÂ Health Center website and must be completed before you complete orientation.
Can I request a roommate?,"Yes, as long as you and your friend request each other. Preferred roommate's name and social security number must be provided."
Do you have co-ed housing?,"Yes, all residence halls are co-ed, by wing, floor, or suite, depending on the layout of the hall."
Where do I eat on campus?,"Residential dining facilities are located on the lower level of the Umphrey Lee Center and at Arnold Dining Commons. 
Additional restaurants are located at the Hughes-Trigg Student Center, near McElvaney Commons, Owen Arts Center and Carr Collins Hall in the Law Quad. For more information, visit smudining.com."
What kind of facilities are available at the Health Center?,"The Dr. Bob Smith Health Center is a professionally staffed outpatient primary care clinic, including pharmacy, 
lab and x-ray facilities, as well as counseling, testing, and alcohol and drug education centers. For more information, visit theÂ health center website."
What is the alcohol policy on campus?,"SMU expects all students to be responsible citizens and to abide by all federal, state, and local laws. 
More information can be found in the SMU Student Handbook."
Are first-year students allowed to register cars on campus?,"First-year students are allowed to have cars on campus, although parking space is limited. The car must be registered with the SMU police. 
For more information, visit SMU Parking Services."
How many students attend SMU?,"On average, SMU enrolls approximately 6,350 undergraduate and 4,500 graduate and professional students. 
The first-year class is between 1525-1550 students."
What is the percentage of minority students?,"SMU's undergraduate minority enrollment averages approximately 28%, with an additional 6% from international countries. 
About one in every three students on campus comes from a diverse background. SMU thrives on the dialogue and understanding created by this global community."
What is the male-to-female ratio?Â ,"The SMU undergraduate population is nearly 50/50 male and female. On average, the graduate population is slightly higher in the number of males."
What percentage of first-year students return in their second year?,SMU students continue to return for their second year an average of 89-90%.
What kinds of student organizations are on campus?,"There are approximately 230 student organizations in which students can explore new interests or expand upon old ones. 
Students have many opportunities to serve and lead, and the freedom to experiment and follow. For more information on campus organizations, visit theÂ Student Activities website."
What kinds of activities take place on the weekends?,"Examples of weekend campus activities include academic lectures, arts and culture and social events, and sports. 
Off campus, it's easy to catch the Dart train at Mockingbird Station near campusÂ to go explore what Dallas has to offer."
What types of athletics does SMU offer?,"SMU offers 17 NCAA Division I-A teams in basketball, cross-country/track and field, swimming and diving, golf, soccer, tennis, volleyball (women only), equestrian (women only), crew (women only), and football. 
SMU also offers several special interest sports clubs and an extensive intramural sports program. For more information on SMU athletics, visit smumustangs.com. For more information on SMU recreational sports, visitÂ smu.edu/recsports."
"How many students participate in the Greek system, and when is recruitment?Â ","Approximately 48% of female undergraduates participate in sororities, and about 32% of male undergraduates participate in fraternities. 
Greeks are a positive force on campus: involved, service oriented, and academically competitive."
How important is community service to SMU students?,"Building a sense of social responsibility through community service is central to SMU's mission. SMU offers service-learning courses, fall and spring Community Service Days, an Inter-Community Experience (ICE) program, 
SMU Service House residence, an Alternative Spring Break program, as well as many other service opportunities through various campus organizations."
What type of career services are provided?,"The Hegi Family Career Development Center offers advising, testing, internships, job postings, interviews, etc. 
For more information, visit smu.edu/career."
What types of student support services are provided?,"SMU provides students with several different types of services, such as Counseling Services, the Testing Center, 
the Altshuler Learning Enhancement CenterÂ (A-LEC), the Career Center, the Advising Center, as well as services for students with disabilities."
