question, answer
What do I need to declare my major? What if I want to add a second major? What if I want to add a minor?,"Some majors have specific subset requirements you need to complete before you can apply/declare that major. 
To view the subset for majors outside of Cox, go to the SMU Catalog, click on your school, then, under your major, click on Go to information for this school/college. 
If you’ve already successfully completed your subset requirements, you need to fill out a Major Declaration Form with your academic advisor in the UAC. 
After you’ve declared a major with your UAC academic advisor, you may declare your second major and/or a minor with your
 School of Record (Dedman, Meadows, Cox, or Simmons). You cannot add a minor before declaring your major."
What are the requirements to get into Cox? What if I don't get in?,"To view the admissions requirements for Cox, go to the SMU Catalog of your year of entry. Click on Cox School of Business, 
then Go to information for this school/college, and then Admission. Always have a back-up plan for any major you are interested in. 
If you don’t meet the subset requirements for a major of interest, speak with your academic advisor about your other academic and career options. 
In addition, you may visit with a Career Counselor in the Hegi Family Career Center about requirements for jobs you’re interested in and begin exploring the different majors SMU offers."
What are my major degree requirements?,"Your major requirements are listed in the SMU Catalog of your year of entry (if you started in Fall 2018 or Spring 2019, you are under the 2018-2019 Catalog). 
To view your major requirements, go to Majors and Minors to view a list of all SMU majors and minors and then click on your major. 
You may also go to the school your major is under (for example, if you are an Advertising major, click on Meadows School of the Arts) and 
find your major from there."
What if I don't know what to major in?,"That’s OK! Use your UC/CC requirements and electives as a way to explore possible majors. 
You may also visit with the Hegi Family Career Center to help narrow down your options."
How do I know what textbooks I need?,"1. Go to Manage Classes tile on my.SMU.
2. Select the term for which you'd like to view the textbook list.
3. Click on View Textbooks towards the top of the page (right above Class Schedule Filter Options)."
How do I view my Transfer Evaluation Report (TER)?,"1. From your Student Dashboard, click on Academics.
2. Select Request Transfer Evaluation
3. Click the ""Go"" button to request the report.
4. After you click ""Ok,"" the Transfer Evaluation Report will be sent to your SMU email account."
How do I drop a class?,"1. Expand the Enrollment section in your Student Dashboard and select Drop Classes.
2. Select the appropriate term.
3. Check the box nect to the class you want to drop.
4. Click Drop in the top right.
5. Confirm that you want to drop by clicking Drop."
How do I know who my academic advisor is?,"1. Expand the Advisor Information section in your Student Dashboard.
2. Click on Advisor Information."
How do I know if I have holds,"Some holds may prevent you from enrolling in classes. Here's how to determine what holds you have:
1. Go to your Student Dashboard in my.SMU.
2. Click on any items in the Holds section to view instructions to remove the hold.
Try to resolve all your holds well in advance of your enrollment time!"
When can I enroll in classes?,"Here's how to determine the date and time you may begin enrolling in the next term's classes:
1. Expand the Enrollment section on your Student Dashboard in my.SMU.
2. Select Enrollment Dates.
3. Select the appropriate term."
How do I swap a class?,"1. Click the Enrollment section on your Student Dashboard and click Swap Classes. 
2. Click the Swap This Class button to the right of the course you want to swap out of.
3. Find a class to swap into: 
3a.With class from Search: This option takes you to the Advanced Class Search to find the course.
3b. With class from Shopping Cart: If you already have the course in your Shopping Cart, use this option.
3c. With class from Class Number: If you know the exact class number, use this option. (Note: The class number is different from the course number.)
4. Click the Swap button.
5. If applicable, make any lab/lecture and waitlist selections.
6. Confirm that your selections are correct and click confirm"
What is my Degree Progress Report (DPR) and how do I find it?,"Your Degree Progress Report (DPR) details the progress you are making toward fulfilling your SMU degree. 
It is viewable through my.SMU by expanding the Academics section of your Student Dashboard and clicking on Degree Progress. 
For assistance reading and understanding your DPR, you may visit with your academic advisor. 
You may also find additional information in the Understanding the DPR document provided by OIT."
How do I get on the waitlist for a class? How does it work?,"If a course you're interested in is waitlisted, follow these steps to add yourself to the waitlist:
1. Follow the steps to enroll in the course. After clicking on Enroll, a popup titled ""Enrollment options"" will appear.
2. Make sure the ""Wait list if class is full"" box is checked.
3. If you want to drop out of a another course if you are successfully enrolled from the waitlist, use the drop-down box to select the course. 
If you don't want to drop any courses if you're enrolled in the waitlisted course, leave the drop-down blank.
4. Click save.
A few things to keep in mind:
- Waitlisted courses count towards your maximum hours.
-You will not be notified if you are enrolled in the class so please monitor your schedule.
-You won't be enrolled in the course if you don't meet the course requirements or have a scheduling conflict 
(unless you utilized the drop-down box to swap out of the conflicting course).
-If you are enrolled in one section of a course and on the waitlist for another section, you will not move off the waitlist unless you utilize the drop-down box. 
-The waitlist will run through the fifth day of class during the fall and spring terms and the first day of class during the summer term."
How do I add a class?,"1. Expand the Enrollment section in your Student Dashboard and select Shopping Cart.
2. Select the appropriate term.
3. Expand the Add Class button and select Advanced Class Search.
4. Enter your search terms, then click Search.
5. A list of available classes will appear. Once you find an open section you would like to enroll in, click the vertically aligned ellipsis and 
select Enroll if you're ready to enroll or Add to Cart if you want to add the course to your Shopping Cart. (Note: Select Add to Cart if the course requires a corequisite.)
6. If a lab section is required, follow steps 4 and 5, using the Add to Cart selection.
7. If you utilized the Add to Cart option, the class will now be added to your shopping cart. To finish enrolling, go to your Shopping Cart (step 1 above), 
select the course(s) you want to enroll in, and select Enroll.
If there are empty seats in the class and no prior departmental consent is required, you will receive a confirmation of enrollment. 
If you receive an error message, check the enrollment restrictions for the class to see if you meet the criteria."
Why is my class not showing up on Canvas?,"Not all classes are posted on Canvas. If your course is supposed to be on Canvas, 
it’s most likely not there because you’ve recently added the course to your schedule. 
To gain access to your course faster, you may contact your instructor or OIT for assistance."
"What year am I (first-year, sophomore, junior, senior)?","SMU classifies students according to the number of credit hours they've earned:
First Year: 0-29 credit hours earned
Sophomore: 30-59 credit hours earned
Junior: 60-89 credit hours earned
Senior: 90 or more credit hours earned"
Can I take courses at my local college or university?,"Sometimes. Once you become a student at SMU, you can’t transfer any credit from a community college back to SMU. 
You may be able to take classes at your local, accredited, four-year institution. Once you’ve identified a course you wish to take, 
get a syllabus and work with your academic advisor on a petition to request approval to take the course."
How many hours do I need to graduate from SMU?,"Students under the University Curriculum need to complete at least 122 credit hours and 
students under the Common Curriculum need to complete at least 120 credit hours. This minimum hour requirement includes the requirements for your major and UC/CC."
What is PRW?,PRW stands for Personal Responsibility and Wellness. It is one of the UC requirements. Students under the CC requirements do not need to take a PRW course. 
